0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,City_Mileage,Highway_Mileage,Kerb_Weight,Ground_Clearance,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Power,torque,Seating_Capacity,Wheelbase,Boot_Space,Minimum_Turning_Radius,Number_of_Airbags
331,Mahindra,Thar,Crde,959860,2498,4,BS IV,"Front, Transverse",60,Diesel,1930,3920,1726,SUV,0,0,1750,200,Independent Suspension with Torsion Bar And Stabilizer Bar,Semi-Elliptical Leaf Spring with Shock Absorbers,1445,1346,105,247,6,2430,600,5.75,0
332,Mahindra,Thar,700 Special Edition,999148,2498,4,BS IV,"Front, Transverse",60,Diesel,1930,3920,1726,SUV,0,0,1750,200,Independent Suspension with Torsion Bar And Stabilizer Bar,Semi-Elliptical Leaf Spring with Shock Absorbers,1445,1346,105,247,6,2430,600,5.75,0
333,Mahindra,Thar,Crde Abs,974860,2498,4,BS IV,"Front, Transverse",60,Diesel,1930,3920,1726,SUV,0,0,1750,200,IFS With Torsion Bar And Stablizer Bar,Semi-elliptical Leaf Spring,1445,1346,105,247,6,2430,600,5.75,0
334,Force,Gurkha,Xpedition 5 Door,999000,2596,4,BS IV,"Front, Longitudinal",63,Diesel,2055,4342,1790,SUV,14,17,0,190,"Independent with Coil Spring mounted on Struts, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar","Multi Link with Pan Hard Rod and Coil Springs, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar",1490,1480,85,230,7,2750,0,6.25,0
335,Force,Gurkha,Xplorer 3 Door,1075000,2596,4,BS IV,"Front, Longitudinal",63,Diesel,2055,3992,1790,SUV,14,17,0,205,"Independent with Coil Spring mounted on Struts, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar","Multi Link with Pan Hard Rod and Coil Springs, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar",1490,1480,85,230,5,2400,0,5.65,0
336,Force,Gurkha,Xtreme,1299000,2149,4,BS IV,"Front, Longitudinal",63,Diesel,2075,3992,1820,SUV,0,0,0,0,0,0,0,0,140,321,5,2400,0,5.65,0
337,Force,Gurkha,Xtreme Abs,1330000,2149,4,BS IV,"Front, Longitudinal",63,Diesel,2075,3992,1820,SUV,0,0,0,0,0,0,0,0,140,321,5,2400,0,5.65,0
338,Force,Gurkha,Xpedition 3 Door,975000,2596,4,BS IV,"Front, Longitudinal",63,Diesel,2055,4342,1790,SUV,14,17,0,190,"Independent with Coil Spring mounted on Struts, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar","Multi Link with Pan Hard Rod and Coil Springs, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar",1490,1480,85,230,7,2750,0,6.25,0
339,Force,Gurkha,Xplorer 5 Door,1225000,2596,4,BS IV,"Front, Longitudinal",63,Diesel,2055,3992,1790,SUV,14,17,0,205,"Independent with Coil Spring mounted on Struts, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar","Multi Link with Pan Hard Rod and Coil Springs, Gas Charged Hydraulic Telescopic Shock Absorbers & Anti Roll Bar",1490,1480,85,230,5,2400,0,5.65,0
340,Maruti Suzuki,Xl6,Zeta Mt,984689,1462,4,BS 6,"Front, Transverse",45,Petrol,1700,4445,1775,MPV,0,0,1180,0,McPherson strut & coil spring,Torsion beam & coil spring,0,0,104,138,6,2740,209,5.2,2
341,Maruti Suzuki,Xl6,Alpha Mt,1041189,1462,4,BS 6,"Front, Transverse",45,Petrol,1700,4445,1775,MPV,0,0,1180,0,McPherson strut & coil spring,Torsion beam & coil spring,0,0,104,138,6,2740,209,5.2,2
342,Maruti Suzuki,Xl6,Zeta At,1094689,1462,4,BS 6,"Front, Transverse",45,Petrol,1700,4445,1775,MPV,0,0,1180,0,McPherson strut & coil spring,Torsion beam & coil spring,0,0,104,138,6,2740,209,5.2,2
343,Maruti Suzuki,Xl6,Alpha At,1151189,1462,4,BS 6,"Front, Transverse",45,Petrol,1700,4445,1775,MPV,0,0,1180,0,McPherson strut & coil spring,Torsion beam & coil spring,0,0,104,138,6,2740,209,5.2,2
344,Fiat,Abarth Avventura,1.4 T-Jet,989219,1368,4,BS IV,"Front, Transverse",0,Petrol,1542,3983,1706,Crossover,17,0,0,205,"Independent Wheel, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar","Torsion Beam, Helical Coil Springs, Double Acting Telescopic Dampers and Stabilizer Bar",0,0,143,210,5,2510,0,0,2
345,Mahindra,Tuv three hundred Plus,P4,992748,2179,3,BS IV,"Front, Longitudinal",60,Diesel,1812,4400,1835,SUV,18.49,0,0,0,Double wishbone,Rigid Axle Multi-Link,0,0,120,280,9,2680,384,5.35,2
346,Mahindra,Tuv three hundred Plus,P6,1029650,2179,3,BS IV,"Front, Longitudinal",60,Diesel,1812,4400,1835,SUV,18.49,0,0,0,Double wishbone,Rigid Axle Multi-Link,0,0,120,280,9,2680,384,5.35,2
347,Mahindra,Tuv three hundred Plus,P8,1142157,2179,3,BS IV,"Front, Longitudinal",60,Diesel,1812,4400,1835,SUV,18.49,0,0,0,Double wishbone,Rigid Axle Multi-Link,0,0,120,280,9,2680,384,5.35,2
348,Mahindra,Marazzo,M2 7 Str,999900,1497,4,BS IV,"Front, Transverse",45,Diesel,1774,4585,1866,MPV,0,0,0,0,Double wishbone,Twist Beam,0,0,121,300,7,2760,0,5.25,2
349,Mahindra,Marazzo,M4 7 Str,1156471,1497,4,BS IV,"Front, Transverse",45,Diesel,1774,4585,1866,MPV,0,0,0,0,Double wishbone,Twist Beam,0,0,121,300,7,2760,0,5.25,2
350,Mahindra,Marazzo,M6 7 Str,1308592,1497,4,BS IV,"Front, Transverse",45,Diesel,1774,4585,1866,MPV,0,0,0,0,Double wishbone,Twist Beam,0,0,121,300,7,2760,0,5.25,2
351,Mahindra,Marazzo,M8 7 Str,1468440,1497,4,BS IV,"Front, Transverse",45,Diesel,1774,4585,1866,MPV,0,0,0,0,Double wishbone,Twist Beam,0,0,121,300,7,2760,0,5.25,2
352,Mahindra,Marazzo,M2 8 Str,999900,1497,4,BS IV,"Front, Transverse",45,Diesel,1774,4585,1866,MPV,0,0,0,0,Double wishbone,Twist Beam,0,0,121,300,8,2760,0,5.25,2
353,Mahindra,Marazzo,M4 8 Str,1164569,1497,4,BS IV,"Front, Transverse",45,Diesel,1774,4585,1866,MPV,0,0,0,0,Double wishbone,Twist Beam,0,0,121,300,8,2760,0,5.25,2
354,Mahindra,Marazzo,M6 8 Str,1316690,1497,4,BS IV,"Front, Transverse",45,Diesel,1774,4585,1866,MPV,0,0,0,0,Double wishbone,Twist Beam,0,0,121,300,8,2760,0,5.25,2
355,Mahindra,Marazzo,M8 8 Str,1476538,1497,4,BS IV,"Front, Transverse",45,Diesel,1774,4585,1866,MPV,0,0,0,0,Double wishbone,Twist Beam,0,0,121,300,8,2760,0,5.25,2
